T_ANALF15M,T_ATRASO_2_BASICO,T_FUND18M,AGUA_ESGOTO,T_DENS,T_LIXO,GINI,PPOB,T_FUNDIN18MINF,P_FORMAL,T_DES18M,RAZDEP,IDHM
2.32,10.9,66.19,0.03,20.08,99.79,0.48,14.95,26.15,66.16,12.39,37.23,0.76
2.38,20.26,46.0,0.2,34.43,98.34,0.44,29.15,38.36,64.41,18.72,42.42,0.669
8.18,20.81,38.6,0.8,42.93,96.82,0.46,41.72,41.79,63.81,21.02,53.44,0.624
3.57,12.37,61.94,0.37,23.45,99.11,0.5,22.72,27.9,65.47,15.23,42.51,0.731
7.89,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,53.04,0.546
3.08,20.26,46.0,0.2,34.43,98.34,0.44,29.15,38.36,64.41,18.72,42.03,0.669
4.7,12.17,50.87,0.0,28.75,99.48,0.46,27.19,34.62,61.85,17.19,45.89,0.681
1.09,8.05,84.85,0.03,9.0,99.32,0.5,5.67,8.01,76.31,9.71,35.29,0.881
14.12,34.21,25.93,0.64,50.52,90.07,0.56,62.59,51.04,68.43,24.89,58.5,0.546
11.84,22.93,34.06,0.56,42.07,97.7,0.48,47.6,46.61,63.46,20.25,55.55,0.606
14.25,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,59.23,0.531
14.41,20.78,32.51,1.52,45.98,98.18,0.45,49.0,48.5,62.83,15.76,55.58,0.581
4.86,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,45.22,0.531
7.96,27.97,22.23,3.39,48.96,93.2,0.43,63.43,54.33,60.14,20.21,44.68,0.512
0.72,5.88,87.91,0.0,4.18,100.0,0.43,3.02,9.05,72.01,10.06,36.94,0.883
1.7,9.51,78.87,0.0,11.26,99.94,0.47,8.63,15.41,72.16,11.25,38.15,0.835
10.61,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,48.55,0.582
4.67,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,46.37,0.587
11.34,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,50.57,0.531
8.52,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,46.48,0.587
9.05,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,52.53,0.582
5.48,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,42.84,0.587
9.72,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,49.8,0.531
9.12,25.75,34.12,0.27,42.37,99.03,0.42,46.29,46.99,63.33,18.46,49.71,0.607
15.66,24.29,28.07,1.16,55.7,99.49,0.41,59.9,50.09,58.86,21.81,66.43,0.562
11.07,20.78,32.51,1.52,45.98,98.18,0.45,49.0,48.5,62.83,15.76,49.55,0.581
5.12,22.93,34.06,0.56,42.07,97.7,0.48,47.6,46.61,63.46,20.25,48.44,0.606
11.37,19.87,39.74,1.09,42.86,98.24,0.52,40.99,42.35,63.54,19.32,51.94,0.652
5.05,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,42.21,0.582
4.49,14.98,51.36,0.27,29.73,98.01,0.41,24.6,33.16,69.43,17.88,42.91,0.688
5.4,20.26,46.0,0.2,34.43,98.34,0.44,29.15,38.36,64.41,18.72,43.5,0.669
6.46,14.7,52.14,1.03,33.79,98.99,0.46,25.88,34.47,65.84,17.77,46.85,0.692
3.16,14.98,51.36,0.27,29.73,98.01,0.41,24.6,33.16,69.43,17.88,40.46,0.688
8.96,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,44.97,0.582
9.04,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,52.66,0.587
5.45,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,52.63,0.587
4.57,20.66,52.03,0.83,30.43,99.11,0.46,31.39,33.11,62.83,15.6,42.36,0.676
5.33,15.28,50.19,0.45,34.26,99.76,0.5,27.25,36.28,63.28,16.22,47.38,0.679
3.04,13.43,64.47,0.0,23.77,100.0,0.49,17.08,25.24,68.04,11.88,42.68,0.763
1.84,12.85,76.61,0.08,13.83,99.3,0.5,10.3,17.2,71.69,11.83,40.06,0.806
2.03,11.58,66.46,0.59,17.34,99.35,0.47,14.79,24.53,65.95,14.17,37.03,0.765
3.11,11.62,62.94,0.0,19.21,99.42,0.43,18.03,28.95,69.89,16.99,39.53,0.747
5.09,17.58,50.56,0.33,32.77,98.5,0.54,29.96,34.86,65.9,15.12,41.99,0.694
3.56,11.5,59.93,0.12,25.69,98.94,0.44,19.16,28.83,67.93,15.32,39.5,0.726
2.2,11.73,69.11,0.12,18.29,99.65,0.45,13.73,22.98,69.2,13.67,39.19,0.751
3.49,8.05,84.85,0.03,9.0,99.32,0.5,5.67,8.01,76.31,9.71,38.25,0.879
1.07,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,37.2,0.834
2.32,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,43.45,0.834
4.54,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,41.12,0.834
0.77,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,38.33,0.834
3.08,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,35.66,0.834
1.12,9.93,82.63,0.12,9.59,99.88,0.45,6.79,13.35,69.36,11.73,37.3,0.845
2.24,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,36.63,0.834
1.28,9.38,81.45,0.32,13.7,100.0,0.47,8.32,13.72,70.33,12.89,35.95,0.833
3.5,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,43.45,0.834
1.1,12.0,65.23,0.46,23.82,99.48,0.48,13.93,25.82,69.7,12.28,41.77,0.759
1.12,8.65,74.91,0.0,11.52,99.72,0.45,8.32,19.22,68.48,15.41,33.85,0.805
2.62,12.0,65.23,0.46,23.82,99.48,0.48,13.93,25.82,69.7,12.28,40.11,0.759
17.26,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,67.71,0.531
10.38,20.09,30.66,1.47,47.52,95.4,0.39,52.04,46.29,65.47,20.49,52.52,0.572
16.91,27.97,22.23,3.39,48.96,93.2,0.43,63.43,54.33,60.14,20.21,50.76,0.512
12.5,27.97,22.23,3.39,48.96,93.2,0.43,63.43,54.33,60.14,20.21,55.47,0.512
12.2,26.83,28.0,0.4,54.62,99.93,0.4,67.85,50.09,61.2,21.91,63.88,0.531
3.22,28.79,25.24,1.06,52.19,92.1,0.43,61.98,47.46,64.98,21.13,44.87,0.54
6.54,25.2,33.61,0.84,41.69,98.7,0.41,47.26,46.54,61.24,20.47,53.76,0.587
5.69,28.79,25.24,1.06,52.19,92.1,0.43,61.98,47.46,64.98,21.13,57.78,0.54
9.09,19.76,33.16,1.26,50.46,93.86,0.44,49.5,46.76,62.37,19.76,49.94,0.582
19.24,28.79,25.24,1.06,52.19,92.1,0.43,61.98,47.46,64.98,21.13,61.69,0.54
4.86,14.7,52.14,1.03,33.79,98.99,0.46,25.88,34.47,65.84,17.77,45.06,0.692
5.65,12.0,65.23,0.46,23.82,99.48,0.48,13.93,25.82,69.7,12.28,49.25,0.759
6.53,17.58,50.56,0.33,32.77,98.5,0.54,29.96,34.86,65.9,15.12,46.74,0.694
2.57,17.58,50.56,0.33,32.77,98.5,0.54,29.96,34.86,65.9,15.12,41.42,0.694
4.49,9.96,47.54,0.0,30.27,98.54,0.44,30.89,37.71,66.36,16.28,44.15,0.682
4.14,17.58,50.56,0.33,32.77,98.5,0.54,29.96,34.86,65.9,15.12,43.33,0.694
2.49,15.95,56.31,0.0,24.83,99.83,0.5,24.39,32.23,65.02,13.6,45.15,0.735
2.95,17.58,50.56,0.33,32.77,98.5,0.54,29.96,34.86,65.9,15.12,41.09,0.694
